model,feature_set,removed_feature,features_used,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,accuracy_mean_drop_from_full,precision_mean_drop_from_full,recall_mean_drop_from_full,f1_mean_drop_from_full,roc_auc_mean_drop_from_full
Decision Tree,full_feature_set,None,"turn_count, aggregate_num_urls, aggregate_money_terms, ratio_request_messages",4,0.9,0.016710351278287062,0.9655283023624983,0.006825676066590882,0.8296875,0.03511282039725661,0.892128293833055,0.019932972783975312,0.940185546875,0.01620527938546761,0.0,0.0,0.0,0.0,0.0
Decision Tree,without_aggregate_money_terms,aggregate_money_terms,"turn_count, aggregate_num_urls, ratio_request_messages",3,0.8453125,0.02287742260054113,0.9064772474775765,0.02813544606209612,0.771875,0.06011057519272295,0.8321183915715125,0.03133413139908295,0.914959716796875,0.017634890874556674,0.0546875,0.059051054884921794,0.057812500000000044,0.06000990226154257,0.025225830078124956
Decision Tree,without_aggregate_num_urls,aggregate_num_urls,"turn_count, aggregate_money_terms, ratio_request_messages",3,0.90078125,0.017815241017174032,0.9672666083043442,0.00980459052687353,0.8296875,0.03511282039725661,0.8928890130585045,0.0209678380119739,0.94068603515625,0.01597885353244931,-0.0007812499999999556,-0.0017383059418458746,0.0,-0.0007607192254495132,-0.0005004882812500444
Decision Tree,without_ratio_request_messages,ratio_request_messages,"turn_count, aggregate_num_urls, aggregate_money_terms",3,0.8828125,0.014874556847390447,0.9247306541865227,0.03338727728531891,0.8359375,0.050931268790645697,0.8766340733718524,0.018574677835901297,0.919964599609375,0.021569458505566616,0.017187500000000022,0.04079764817597564,-0.006249999999999978,0.015494220461202635,0.020220947265624956
Decision Tree,without_turn_count,turn_count,"aggregate_num_urls, aggregate_money_terms, ratio_request_messages",3,0.7828125,0.030583717392286533,0.8588951480235248,0.04904576423829554,0.6828125,0.08986073209069131,0.7564299213577883,0.046690648185200835,0.86612548828125,0.02394182679225077,0.1171875,0.10663315433897347,0.14687499999999998,0.13569837247526673,0.07406005859374998
Logistic Regression,full_feature_set,None,"turn_count, aggregate_num_urls, aggregate_money_terms, ratio_request_messages",4,0.89375,0.024920527980838405,0.9299876407949202,0.011937614158280443,0.8515625,0.048475287679651785,0.8885283875929311,0.02857370105760675,0.947711181640625,0.01642889945770055,0.0,0.0,0.0,0.0,0.0
Logistic Regression,without_aggregate_money_terms,aggregate_money_terms,"turn_count, aggregate_num_urls, ratio_request_messages",3,0.8546875,0.03068333888539919,0.8856489446702197,0.038237608126563696,0.815625,0.04228865188351362,0.8486273275250028,0.0326646758318032,0.9233642578125,0.024485183121880777,0.0390625,0.04433869612470054,0.035937499999999956,0.03990106006792826,0.024346923828124978
Logistic Regression,without_aggregate_num_urls,aggregate_num_urls,"turn_count, aggregate_money_terms, ratio_request_messages",3,0.89375,0.024920527980838405,0.9299876407949202,0.011937614158280443,0.8515625,0.048475287679651785,0.8885283875929311,0.02857370105760675,0.94774169921875,0.01656855218449792,0.0,0.0,0.0,0.0,-3.0517578125e-05
Logistic Regression,without_ratio_request_messages,ratio_request_messages,"turn_count, aggregate_num_urls, aggregate_money_terms",3,0.8859375,0.030433673719972583,0.9393615163374832,0.01535962358399158,0.825,0.057303502565288274,0.8777420495470917,0.03589822703350256,0.93558349609375,0.02205879915431256,0.0078125,-0.00937387554256297,0.026562500000000044,0.010786338045839394,0.012127685546874933
Logistic Regression,without_turn_count,turn_count,"aggregate_num_urls, aggregate_money_terms, ratio_request_messages",3,0.78671875,0.03882741762434118,0.8400424548443924,0.03630885349380013,0.7078125,0.05730350256528828,0.7677474674863598,0.04625831536739862,0.8598388671875,0.03766643376572027,0.10703125000000002,0.0899451859505278,0.14375000000000004,0.12078092010657127,0.08787231445312493
